event,player,selectionLabel,marketLabel,payout_betinia,payout_expekt,payout_betano,best_bookmaker,best_payout,second_best_payout,ratio_best_over_second
Rayo Vallecano vs Mallorca,Alfonso Espino,Over 2.5,Spillers samlede antal skud | Alfonso Espino,,2.15,10.25,Betano,10.25,2.15,4.767441860465117
Udinese vs Pisa,Michel Aebischer,Yes,Spiller scorer | Michel Aebischer,2.5455,11.0,,Expekt,11.0,2.5455,4.3213514044392065
Levante vs Espanyol,Ramon Terrats,Over 3.5,Spillers samlede antal skud | Ramon Terrats,,3.2,13.0,Betano,13.0,3.2,4.0625
Atalanta vs Torino,Marco Brescianini,Over 3.5,Spillers samlede antal skud | Marco Brescianini,3.0,,12.0,Betano,12.0,3.0,4.0
Udinese vs Pisa,Juan Arizala,Yes,Spiller scorer | Juan Arizala,3.0,10.0,,Expekt,10.0,3.0,3.3333333333333335
Valencia vs Elche,Rodrigo Mendoza,Over 2.5,Spillers samlede antal skud | Rodrigo Mendoza,2.6,,8.5,Betano,8.5,2.6,3.269230769230769
Villarreal vs Alaves,Georges Mikautadze,Over 4.5,Spillers samlede antal skud | Georges Mikautadze,1.7143,2.3,7.3,Betano,7.3,2.3,3.173913043478261
Valencia vs Elche,Lucas Beltran,Over 2.5,Spillers samlede antal tacklinger | Lucas Beltran,3.5,11.0,,Expekt,11.0,3.5,3.142857142857143
Atalanta vs Torino,Marco Brescianini,Over 1.5,Antal afslutninger på mål | Marco Brescianini,3.3334,,10.25,Betano,10.25,3.3334,3.0749385012299753
Atalanta vs Torino,Marco Brescianini,Over 2.5,Spillers samlede antal skud | Marco Brescianini,1.8,,5.4,Betano,5.4,1.8,3.0
Udinese vs Pisa,Michel Aebischer,Over 0.5,Spillers samlede antal assister | Michel Aebischer,2.6667,8.0,,Expekt,8.0,2.6667,2.9999625004687442
Levante vs Espanyol,Roberto Fernandez,Over 0.5,Spillers samlede antal assister | Roberto Fernandez,2.5455,7.5,,Expekt,7.5,2.5455,2.946375957572186
Villarreal vs Alaves,Ayoze Perez,Over 0.5,Spillers samlede antal assister | Ayoze Perez,1.7,5.0,,Expekt,5.0,1.7,2.9411764705882355
Rayo Vallecano vs Mallorca,Alfonso Espino,Over 1.5,Spillers samlede antal skud | Alfonso Espino,,1.33,3.9,Betano,3.9,1.33,2.932330827067669
Algeriet vs Nigeria,Francis Uzoho,Yes,Spiller får kort | Francis Uzoho,,8.0,2.77,Expekt,8.0,2.77,2.888086642599278
Rayo Vallecano vs Mallorca,Abdon,Over 0.5,Spillers samlede antal assister | Abdon,3.2,9.0,,Expekt,9.0,3.2,2.8125
Atalanta vs Torino,Gianluca Scamacca,Over 0.5,Spillers samlede antal assister | Gianluca Scamacca,2.0,5.5,,Expekt,5.5,2.0,2.75
Real Oviedo vs Real Betis,Lamine Gueye,Yes,Spiller får kort | Lamine Gueye,2.75,7.5,,Expekt,7.5,2.75,2.727272727272727
Valencia vs Elche,Aimar Blazquez,Over 0.5,Spillers samlede antal assister | Aimar Blazquez,2.4,,6.5,Betano,6.5,2.4,2.7083333333333335
Udinese vs Pisa,Samuele Angori,Over 0.5,Antal afslutninger på mål | Samuele Angori,3.0,8.0,,Expekt,8.0,3.0,2.6666666666666665
Real Oviedo vs Real Betis,Alberto Reina,Over 2.5,Spillers samlede antal skud | Alberto Reina,3.0,,7.7,Betano,7.7,3.0,2.566666666666667
Real Oviedo vs Real Betis,Alex Fores,Over 0.5,Spillers samlede antal assister | Alex Fores,3.3334,8.5,,Expekt,8.5,3.3334,2.5499490010199795
Levante vs Espanyol,Jose Morales,Over 0.5,Spillers samlede antal assister | Jose Morales,2.75,,7.0,Betano,7.0,2.75,2.5454545454545454
Como 1907 vs Bologna,Ciro Immobile,Over 3.5,Spillers samlede antal skud | Ciro Immobile,,3.0,7.6,Betano,7.6,3.0,2.533333333333333
Atalanta vs Torino,Che Adams,Over 0.5,Spillers samlede antal assister | Che Adams,3.2,8.0,,Expekt,8.0,3.2,2.5
Valencia vs Elche,Lucas Beltran,Over 0.5,Spillers samlede antal assister | Lucas Beltran,2.6,6.5,,Expekt,6.5,2.6,2.5
Villarreal vs Alaves,Georges Mikautadze,Over 3.5,Spillers samlede antal skud | Georges Mikautadze,1.32,1.53,3.8,Betano,3.8,1.53,2.4836601307189543
Levante vs Espanyol,Ivan Romero,Over 0.5,Spillers samlede antal assister | Ivan Romero,2.6667,,6.6,Betano,6.6,2.6667,2.474969062886714
Rayo Vallecano vs Mallorca,Pedro Diaz,Over 0.5,Spillers samlede antal assister | Pedro Diaz,3.0,,7.4,Betano,7.4,3.0,2.466666666666667
Como 1907 vs Bologna,Maxence Caqueret,Over 2.5,Spillers samlede antal skud | Maxence Caqueret,,2.7,6.6,Betano,6.6,2.7,2.444444444444444
Rayo Vallecano vs Mallorca,Carlos Martin,Over 0.5,Spillers samlede antal assister | Carlos Martin,2.4546,6.0,,Expekt,6.0,2.4546,2.4443901246638964
Valencia vs Elche,Adam Boayar,Over 0.5,Spillers samlede antal assister | Adam Boayar,3.2,,7.6,Betano,7.6,3.2,2.3749999999999996
Algeriet vs Nigeria,Ramiz Zerrouki,Over 1.5,Spillers samlede antal skud | Ramiz Zerrouki,,2.25,5.3,Betano,5.3,2.25,2.3555555555555556
Rayo Vallecano vs Mallorca,Samu Becerra,Over 0.5,Spillers samlede antal assister | Samu Becerra,3.2,,7.4,Betano,7.4,3.2,2.3125
Atalanta vs Torino,Gvidas Gineitis,Over 2.5,Spillers samlede antal skud | Gvidas Gineitis,,3.5,8.0,Betano,8.0,3.5,2.2857142857142856
Real Oviedo vs Real Betis,Ivan Corralejo,Over 0.5,Spillers samlede antal assister | Ivan Corralejo,2.3637,,5.4,Betano,5.4,2.3637,2.2845538773956084
Udinese vs Pisa,Idrissa Gueye,Over 0.5,Spillers samlede antal assister | Idrissa Gueye,3.1,7.0,,Expekt,7.0,3.1,2.258064516129032
Rayo Vallecano vs Mallorca,Carlos Martin,Over 4.5,Spillers samlede antal skud | Carlos Martin,2.9,6.5,,Expekt,6.5,2.9,2.241379310344828
Rayo Vallecano vs Mallorca,Lucas Bergstrom,Yes,Spiller får kort | Lucas Bergstrom,,7.5,3.35,Expekt,7.5,3.35,2.2388059701492535
Valencia vs Elche,Rodrigo Mendoza,Over 1.5,Spillers samlede antal skud | Rodrigo Mendoza,1.52,,3.4,Betano,3.4,1.52,2.236842105263158
Egypten vs Elfenbenskysten,Evann Guessand,Over 3.5,Spillers samlede antal skud | Evann Guessand,,2.7,6.0,Betano,6.0,2.7,2.222222222222222
Udinese vs Pisa,Keinan Davis,Over 0.5,Spillers samlede antal assister | Keinan Davis,2.7143,6.0,,Expekt,6.0,2.7143,2.2105146815016763
Valencia vs Elche,Daniel Raba,Over 0.5,Spillers samlede antal assister | Daniel Raba,2.05,4.5,,Expekt,4.5,2.05,2.1951219512195124
Levante vs Espanyol,Pablo Martinez,Over 2.5,Spillers samlede antal skud | Pablo Martinez,1.75,2.3,5.0,Betano,5.0,2.3,2.173913043478261
Udinese vs Pisa,Sandi Lovric,Yes,Spiller får kort | Sandi Lovric,2.3,5.0,,Expekt,5.0,2.3,2.173913043478261
Algeriet vs Nigeria,Monsef Bakrar,Over 4.5,Spillers samlede antal skud | Monsef Bakrar,,3.5,7.6,Betano,7.6,3.5,2.1714285714285713
Rayo Vallecano vs Mallorca,Alfonso Espino,Over 0.5,Antal afslutninger på mål | Alfonso Espino,,1.62,3.5,Betano,3.5,1.62,2.1604938271604937
Udinese vs Pisa,Lennon Miller,Over 0.5,Spillers samlede antal assister | Lennon Miller,2.8,6.0,,Expekt,6.0,2.8,2.142857142857143
Algeriet vs Nigeria,Ilan Kebbal,Over 2.5,Spillers samlede antal skud | Ilan Kebbal,,2.3,4.9,Betano,4.9,2.3,2.130434782608696
Udinese vs Pisa,Iker Bravo,Over 0.5,Spillers samlede antal assister | Iker Bravo,3.1,6.5,,Expekt,6.5,3.1,2.096774193548387
Udinese vs Pisa,Samuele Angori,Yes,Spiller får kort | Samuele Angori,3.1,6.5,,Expekt,6.5,3.1,2.096774193548387
Algeriet vs Nigeria,Ademola Lookman,Over 4.5,Spillers samlede antal skud | Ademola Lookman,,3.4,7.1,Betano,7.1,3.4,2.088235294117647
Real Oviedo vs Real Betis,Ivan Corralejo,Over 3.5,Spillers samlede antal skud | Ivan Corralejo,2.9,,6.0,Betano,6.0,2.9,2.0689655172413794
Algeriet vs Nigeria,Calvin Bassey,Yes,Spiller får kort | Calvin Bassey,,6.0,2.92,Expekt,6.0,2.92,2.0547945205479454
Como 1907 vs Bologna,Ciro Immobile,Over 2.5,Spillers samlede antal skud | Ciro Immobile,,1.73,3.55,Betano,3.55,1.73,2.052023121387283
Valencia vs Elche,Adria Pedrosa,Over 0.5,Antal afslutninger på mål | Adria Pedrosa,4.0,1.95,,Betinia,4.0,1.95,2.0512820512820515
Valencia vs Elche,Eray Comert,Yes,Spiller får kort | Eray Comert,2.2,4.5,,Expekt,4.5,2.2,2.0454545454545454
Valencia vs Elche,Lucas Beltran,Over 1.5,Spillers samlede antal tacklinger | Lucas Beltran,2.2,4.5,,Expekt,4.5,2.2,2.0454545454545454
Levante vs Espanyol,Kareem Tunde,Over 2.5,Spillers samlede antal skud | Kareem Tunde,2.3,,4.7,Betano,4.7,2.3,2.0434782608695654
Como 1907 vs Bologna,Lewis Ferguson,Over 1.5,Spillers samlede antal skud | Lewis Ferguson,,1.91,3.9,Betano,3.9,1.91,2.0418848167539267
Udinese vs Pisa,Christian Kabasele,Over 2.5,Spillers samlede antal tacklinger | Christian Kabasele,3.2,6.5,,Expekt,6.5,3.2,2.03125
Villarreal vs Alaves,Ayoze Perez,Over 2.5,Spillers samlede antal tacklinger | Ayoze Perez,3.2,6.5,,Expekt,6.5,3.2,2.03125
Valencia vs Elche,Arnaut Danjuma,Over 1.5,Antal afslutninger på mål | Arnaut Danjuma,,4.2,2.07,Expekt,4.2,2.07,2.028985507246377
Real Oviedo vs Real Betis,Ilyas Chaira,Over 0.5,Spillers samlede antal assister | Ilyas Chaira,,7.0,3.45,Expekt,7.0,3.45,2.0289855072463765
Valencia vs Elche,David Otorbi,Over 0.5,Spillers samlede antal assister | David Otorbi,2.6667,,5.4,Betano,5.4,2.6667,2.0249746878164023
Egypten vs Elfenbenskysten,Mohamed Salah,Over 3.5,Spillers samlede antal skud | Mohamed Salah,,2.3,4.65,Betano,4.65,2.3,2.0217391304347827
Rayo Vallecano vs Mallorca,Carlos Martin,Over 3.5,Spillers samlede antal skud | Carlos Martin,1.875,3.75,,Expekt,3.75,1.875,2.0
Udinese vs Pisa,Matteo Tramoni,Over 3.5,Spillers samlede antal skud | Matteo Tramoni,3.0,6.0,,Expekt,6.0,3.0,2.0
Villarreal vs Alaves,Calebe,Over 2.5,Spillers samlede antal tacklinger | Calebe,2.0,4.0,,Expekt,4.0,2.0,2.0
Girona vs Ca Osasuna,Cristhian Stuani,Yes,Spiller får kort | Cristhian Stuani,,2.62,5.2,Betano,5.2,2.62,1.984732824427481
Atalanta vs Torino,Kamaldeen Sulemana,Over 3.5,Spillers samlede antal skud | Kamaldeen Sulemana,,2.88,5.7,Betano,5.7,2.88,1.9791666666666667
Egypten vs Elfenbenskysten,Ghislain Konan,Over 1.5,Spillers samlede antal skud | Ghislain Konan,,3.4,6.7,Betano,6.7,3.4,1.9705882352941178
Valencia vs Elche,Ruben Iranzo,Over 1.5,Spillers samlede antal skud | Ruben Iranzo,3.4,,6.7,Betano,6.7,3.4,1.9705882352941178
Atalanta vs Torino,Charles De Ketelaere,Over 4.5,Spillers samlede antal skud | Charles De Ketelaere,,3.1,6.1,Betano,6.1,3.1,1.9677419354838708
Levante vs Espanyol,Jose Morales,Over 3.5,Spillers samlede antal skud | Jose Morales,3.1,,6.1,Betano,6.1,3.1,1.9677419354838708
Levante vs Espanyol,Kareem Tunde,Over 0.5,Spillers samlede antal assister | Kareem Tunde,3.1,,6.1,Betano,6.1,3.1,1.9677419354838708
Villarreal vs Alaves,Ismael Sierra,Over 1.5,Spillers samlede antal skud | Ismael Sierra,3.0,,5.9,Betano,5.9,3.0,1.9666666666666668
Levante vs Espanyol,Roberto Fernandez,Yes,Spiller får kort | Roberto Fernandez,2.8,5.5,,Expekt,5.5,2.8,1.9642857142857144
Udinese vs Pisa,Samuele Angori,Over 1.5,Spillers samlede antal skud | Samuele Angori,2.8,5.5,,Expekt,5.5,2.8,1.9642857142857144
Villarreal vs Alaves,Nicolas Pepe,Over 3.5,Spillers samlede antal skud | Nicolas Pepe,1.85,2.4,4.7,Betano,4.7,2.4,1.9583333333333335
Atalanta vs Torino,Zakaria Aboukhlal,Over 2.5,Spillers samlede antal tacklinger | Zakaria Aboukhlal,1.96,3.8,,Expekt,3.8,1.96,1.9387755102040816
Udinese vs Pisa,Alessandro Zanoli,Over 1.5,Spillers samlede antal skud | Alessandro Zanoli,2.9,1.5,,Betinia,2.9,1.5,1.9333333333333333
Girona vs Ca Osasuna,Ivan Martin,Over 1.5,Spillers samlede antal skud | Ivan Martin,,4.0,2.07,Expekt,4.0,2.07,1.9323671497584543
Egypten vs Elfenbenskysten,Oumar Diakite,Over 2.5,Spillers samlede antal skud | Oumar Diakite,,2.2,4.25,Betano,4.25,2.2,1.9318181818181817
Algeriet vs Nigeria,Monsef Bakrar,Over 3.5,Spillers samlede antal skud | Monsef Bakrar,,2.05,3.95,Betano,3.95,2.05,1.926829268292683
